Date/Time, Test Result

20/03/2016 06:55:11,PASS
20/03/2016 08:59:20,PASS
20/03/2016 11:48:02,PASS
20/03/2016 15:05:24,FAIL
20/03/2016 18:50:47,PASS
21/03/2016 00:15:53,PASS
21/03/2016 05:21:54,FAIL
21/03/2016 08:51:27,PASS
21/03/2016 13:29:43,PASS
21/03/2016 20:07:05,FAIL
21/03/2016 21:18:28,FAIL
22/03/2016 00:05:15,PASS
22/03/2016 05:57:05,PASS
22/03/2016 08:49:08,FAIL
22/03/2016 09:02:15,FAIL
22/03/2016 12:36:23,PASS
22/03/2016 17:06:56,PASS
23/03/2016 10:13:25,FAIL
23/03/2016 20:27:00,PASS
23/03/2016 21:17:42,PASS
